Index,Label,Type,HasShape,Volume_mm3,BoundBox,Visibility
2118,Z축233,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2119,XY 평면233,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2120,XZ 평면233,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2121,YZ평면233,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2122,Extruded (11)015,Part::Feature,Yes,0.11,(0.3×0.9×0.5mm),N/A
2123,432120464015,App::Part,Yes,0.11,(0.3×0.9×0.5mm),N/A
2124,원점234,App::Origin,No,0.00,,N/A
2125,X축234,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2126,Y-축234,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2127,Z축234,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2128,XY 평면234,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2129,XZ 평면234,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2130,YZ평면234,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2131,C8,App::Part,Yes,0.72,(1.6×0.9×0.5mm),N/A
2132,원점235,App::Origin,No,0.00,,N/A
2133,X축235,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2134,Y-축235,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2135,Z축235,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2136,XY 평면235,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2137,XZ 평면235,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2138,YZ평면235,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2139,Extruded (23),Part::Feature,Yes,0.16,(1.3×0.3×0.5mm),N/A
2140,804388560,App::Part,Yes,0.16,(1.3×0.3×0.5mm),N/A
2141,원점236,App::Origin,No,0.00,,N/A
2142,X축236,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2143,Y-축236,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2144,Z축236,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2145,XY 평면236,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2146,XZ 평면236,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2147,YZ평면236,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2148,Extruded (23)001,Part::Feature,Yes,0.16,(1.3×0.3×0.5mm),N/A
2149,804388560001,App::Part,Yes,0.16,(1.3×0.3×0.5mm),N/A
2150,원점237,App::Origin,No,0.00,,N/A
2151,X축237,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2152,Y-축237,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2153,Z축237,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2154,XY 평면237,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2155,XZ 평면237,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2156,YZ평면237,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2157,Extruded (24),Part::Feature,Yes,1.09,(1.1×2.3×0.4mm),N/A
2158,804388688,App::Part,Yes,1.09,(1.1×2.3×0.4mm),N/A
2159,원점238,App::Origin,No,0.00,,N/A
2160,X축238,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2161,Y-축238,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2162,Z축238,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2163,XY 평면238,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2164,XZ 평면238,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2165,YZ평면238,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2166,C9,App::Part,Yes,1.41,(1.3×2.7×0.5mm),N/A
2167,원점239,App::Origin,No,0.00,,N/A
2168,X축239,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2169,Y-축239,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2170,Z축239,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2171,XY 평면239,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2172,XZ 평면239,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2173,YZ평면239,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2174,Extruded (23)002,Part::Feature,Yes,0.16,(1.3×0.3×0.5mm),N/A
2175,804388560002,App::Part,Yes,0.16,(1.3×0.3×0.5mm),N/A
2176,원점240,App::Origin,No,0.00,,N/A
2177,X축240,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2178,Y-축240,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2179,Z축240,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2180,XY 평면240,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2181,XZ 평면240,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2182,YZ평면240,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2183,Extruded (23)003,Part::Feature,Yes,0.16,(1.3×0.3×0.5mm),N/A
2184,804388560003,App::Part,Yes,0.16,(1.3×0.3×0.5mm),N/A
2185,원점241,App::Origin,No,0.00,,N/A
2186,X축241,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2187,Y-축241,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2188,Z축241,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2189,XY 평면241,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2190,XZ 평면241,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2191,YZ평면241,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2192,Extruded (24)001,Part::Feature,Yes,1.09,(1.1×2.3×0.4mm),N/A
2193,804388688001,App::Part,Yes,1.09,(1.1×2.3×0.4mm),N/A
2194,원점242,App::Origin,No,0.00,,N/A
2195,X축242,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2196,Y-축242,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2197,Z축242,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2198,XY 평면242,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2199,XZ 평면242,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2200,YZ평면242,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2201,C10,App::Part,Yes,1.41,(1.3×2.7×0.5mm),N/A
2202,원점243,App::Origin,No,0.00,,N/A
2203,X축243,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2204,Y-축243,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2205,Z축243,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2206,XY 평면243,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2207,XZ 평면243,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2208,YZ평면243,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2209,Extruded (25),Part::Feature,Yes,0.16,(0.3×1.3×0.5mm),N/A
2210,432117136,App::Part,Yes,0.16,(0.3×1.3×0.5mm),N/A
2211,원점244,App::Origin,No,0.00,,N/A
2212,X축244,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2213,Y-축244,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2214,Z축244,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2215,XY 평면244,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2216,XZ 평면244,App::Plane,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2217,YZ평면244,App::Plane,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
2218,Extruded (25)001,Part::Feature,Yes,0.16,(0.3×1.3×0.5mm),N/A
2219,432117136001,App::Part,Yes,0.16,(0.3×1.3×0.5mm),N/A
2220,원점245,App::Origin,No,0.00,,N/A
2221,X축245,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
2222,Y-축245,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
2223,Z축245,App::Line,Yes,0.00,(0.0×0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0mm),N/A
